bytes,scenario,ada_table_ns,scalar_reference_ns,static_neon_ns,runtime_neon_ns
7,no_match,4.22,15.54,14.32,16.08
15,no_match,7.25,26.95,26.27,27.58
16,no_match,7.53,21.91,9.19,10.92
17,no_match,8.24,23.10,10.16,12.11
24,no_match,11.18,32.68,20.19,22.24
31,no_match,14.33,42.23,30.10,31.76
32,no_match,14.61,37.99,13.04,15.17
33,no_match,14.85,38.39,13.79,15.96
48,no_match,21.16,52.51,17.07,18.80
64,no_match,28.55,70.07,20.85,23.34
96,no_match,42.21,103.79,28.66,30.97
127,no_match,61.04,139.64,53.88,56.72
128,no_match,60.98,134.38,36.00,38.88
129,no_match,62.20,136.94,38.04,39.71
256,no_match,117.18,257.22,68.16,71.66
4096,no_match,1764.23,3873.06,1043.42,1041.08
1048576,no_match,444982.95,979225.00,258942.70,258206.25
7,last_match,4.05,14.97,13.60,15.72
15,last_match,7.00,26.41,25.19,26.88
16,last_match,7.32,23.77,10.72,12.14
17,last_match,7.85,22.38,9.34,11.41
24,last_match,10.95,31.30,19.05,20.89
31,last_match,13.74,41.05,29.09,31.09
32,last_match,14.55,40.03,14.69,16.71
33,last_match,15.28,38.48,13.94,15.55
48,last_match,21.32,54.96,18.76,20.24
64,last_match,28.07,69.29,22.40,24.45
96,last_match,42.49,111.88,30.37,32.41
127,last_match,62.68,136.93,53.46,55.14
128,last_match,63.79,143.47,38.63,40.69
129,last_match,63.59,134.48,37.63,39.27
256,last_match,117.77,261.13,69.93,72.00
4096,last_match,1744.13,3844.30,1039.02,1041.26
1048576,last_match,442946.95,980095.80,258714.60,257882.30
